QUALIFICATION,Category
१० कक्षा पास,SLC
under slc,Under SLC
sLc,SLC
Under SLC,Under SLC
साधारण ,Under SLC
स्नाकोत्तर,Masters
M.A.,Masters
Ph.D,PHD
MAA-Phd M.Ed,PHD
llm,Masters
एस ल सी,SLC
एम ए/ बी एल,Masters
आ ए,2
मस्टर इन ट्रसपेटेसन सिटम ,Masters
पी एच डी,PHD
बि. ए.ल ल बी,Bachelor
isc,2
bbs,Bachelor
आइ ऐड,2
डिप्लोमा इन्जिनियरिङ्ग,2
BE,Bachelor
आइ कम,2
Y,
अनौपचारीक लेखपढ,Under SLC
10 + 2,2
+ २ पास,2
८ पास,Under SLC
आइ ऐ,2
सधारण लेखपढ,Under SLC
प्राथमिक परिक्षा पास,Under SLC
कक्षा ९,Under SLC
ब्याचलर इक्ट्रिक,Bachelor
PHD ,PHD
B A,Bachelor
B.Tech,Bachelor
कक्षा 10,SLC
अ हे व,SLC
Bachelor in sociology,Bachelor
MA poltical science,Masters
Master in political Science,Masters
Master in sociology,Masters
एम टेक (इनजीनियरिङ्ग),Masters
B.com,Bachelor
Doctor,PHD
P.Hd.,PHD
MCA,Masters
B.B.S,Bachelor
Diploma in Civil Engineer,2
Diploma in civil Engineer,2
MBS,Masters
I sc,2
Bachelor in computer Science,Bachelor
Bcom,Bachelor
B.SC. Honours,Bachelor
समान्य लेखपढ,Under SLC
I.SC,2
B.E.,Bachelor
B.Sc.,Bachelor
I.Sc.,2
इन्जिनियरीङ्ग,Bachelor
एस.इ.इ.,SLC
S.L.C.,SLC
विद्यावारिधी,PHD
स्नातकोत्तर तह व्यवस्थान र कानूनमा स्नातक,Masters
सााधारण लेखपेढ,Under SLC
slc pass,SLC
एस एल सि पास,SLC
  साधारण लेखपढ,Under SLC
n,Under SLC
 SLC,SLC
वि.ए.(स्नातक),Bachelor
स्नातकोत्तरोपाधि,Masters
मास्टर्स,Masters
सधारण,Under SLC
8 कक्षा ,Under SLC
BALLB,Bachelor
8 कक्षा सम्म,Under SLC
8 कक्षा पास,Under SLC
कक्षा 8 सम्म,Under SLC
आई.ए.सी.,2
ईन्जिनियर,Bachelor
वि.कम.,Bachelor
बिए.एल.एल.बी.,Bachelor
वि.वि.ए.,Bachelor
M.D. Medicine,Masters
आइ एसी,2
आधारभुत तह,Under SLC
‌‌+2 Science,2
+2 डिप्लोमा सिभिल,2
कक्षा ७ उतिर्ण,Under SLC
10‌‌+2,2
वि.ए.,Bachelor
I.SC.,2
-,
‌‌+2,2
कक्षा १० ,SLC
साधरण,Under SLC
s.l.c.,SLC
प्रविणता ,2
i.com.,2
